iter	RMSE
0	34.94945599
1	33.39717151
2	31.96077161
3	30.55907059
4	29.30286085
5	27.95984825
6	26.77415463
7	25.64387831
8	24.51714262
9	23.5128453
10	22.57146102
11	21.65567944
12	20.69744043
13	19.80739892
14	18.99933329
15	18.21324763
16	17.5112361
17	16.86133266
18	16.2653508
19	15.65758775
20	15.04725097
21	14.55331941
22	14.05561117
23	13.5307418
24	13.08400096
25	12.63593543
26	12.27679006
27	11.81925179
28	11.39444314
29	11.05946957
30	10.65508797
31	10.32266993
32	10.04184861
33	9.760662526
34	9.456237096
35	9.2017731
36	8.892500007
37	8.661380696
38	8.451643821
39	8.215538193
40	7.977385288
41	7.757102259
42	7.560685496
43	7.381063136
44	7.212138105
45	7.055832806
46	6.914980702
47	6.75497349
48	6.593362664
49	6.453737386
50	6.329017774
51	6.196064262
52	6.080802691
53	5.976672886
54	5.87148382
55	5.780793219
56	5.685881901
57	5.588147179
58	5.488181262
59	5.406589441
60	5.333410304
61	5.227118508
62	5.155541508
63	5.067703405
64	5.000850408
65	4.913608141
66	4.838030288
67	4.764206204
68	4.703845481
69	4.642736397
70	4.568921623
71	4.504441325
72	4.438743975
73	4.383791339
74	4.331874819
75	4.275510197
76	4.235084386
77	4.1938182
78	4.138733637
79	4.10026699
80	4.055301453
81	3.99931399
82	3.955784485
83	3.905092797
84	3.859795279
85	3.822662708
86	3.787093602
87	3.744953216
88	3.696653371
89	3.657014573
90	3.633156875
91	3.595683503
92	3.574820293
93	3.537978252
94	3.501389284
95	3.467407688
96	3.449978956
97	3.410398042
98	3.376266975
99	3.349376518
100	3.31964548
101	3.295584384
102	3.264575419
103	3.234997508
104	3.198810447
105	3.167152395
106	3.138961073
107	3.104731387
108	3.066764871
109	3.051239298
110	3.026877947
111	3.011868468
112	2.9935132
113	2.971769393
114	2.941943931
115	2.921015144
116	2.894365242
117	2.877970341
118	2.851536409
119	2.839796511
120	2.822624714
121	2.802454887
122	2.786445168
123	2.768512634
124	2.752212075
125	2.726076099
126	2.713721445
127	2.686483957
128	2.668377969
129	2.644966503
130	2.630635545
131	2.615569776
132	2.602692462
133	2.585296464
134	2.560868761
135	2.539988651
136	2.522190663
137	2.512896283
138	2.497051817
139	2.473735836
140	2.462653569
141	2.44967696
142	2.436556553
143	2.421800401
144	2.409154952
145	2.398119878
146	2.378697103
147	2.361972606
148	2.351662793
149	2.335408879
150	2.320761505
151	2.303210778
152	2.289641599
153	2.279288225
154	2.267060849
155	2.254198779
156	2.240336388
157	2.228641674
158	2.212348371
159	2.195457941
160	2.183027652
161	2.17053047
162	2.160634813
163	2.145826389
164	2.133397204
165	2.123580803
166	2.110219776
167	2.100145396
168	2.089445998
169	2.080800765
170	2.069494286
171	2.058711643
172	2.047743108
173	2.037625396
174	2.028245541
175	2.01716412
176	2.010781437
177	2.004675042
178	1.993654529
179	1.985399321
180	1.977683568
181	1.967986158
182	1.961377415
183	1.951956977
184	1.94314725
185	1.933721698
186	1.927011996
187	1.919267095
188	1.912138524
189	1.904734896
190	1.895182782
191	1.886641191
192	1.877072354
193	1.868906565
194	1.861605391
195	1.853808238
196	1.845958025
197	1.84086061
198	1.832236771
199	1.824640187
200	1.8175927
201	1.812090127
202	1.804175403
203	1.796962697
204	1.79201155
205	1.786067479
206	1.780766985
207	1.774694494
208	1.768064699
209	1.761531264
210	1.754676664
211	1.745719612
212	1.739520082
213	1.730022139
214	1.725739625
215	1.720292192
216	1.714665861
217	1.709541746
218	1.703806769
219	1.698224862
220	1.693440445
221	1.689280794
222	1.682615995
223	1.677064631
224	1.672096117
225	1.667515398
226	1.663860149
227	1.658247779
228	1.654412628
229	1.6512188
230	1.646421594
231	1.643158664
232	1.638217416
233	1.635016886
234	1.629176674
235	1.624586629
236	1.619116519
237	1.614700161
238	1.610279854
239	1.606342198
240	1.602079225
241	1.595738383
242	1.59249908
243	1.589344589
244	1.586766101
245	1.584022845
246	1.579803286
247	1.577719649
248	1.57421717
249	1.567948911
250	1.564328545
251	1.561164075
252	1.557350759
253	1.553960872
254	1.551079963
255	1.547315707
256	1.541608333
257	1.538386437
258	1.536268429
259	1.533658791
260	1.530208589
261	1.5269475
262	1.521843332
263	1.518700703
264	1.516318959
265	1.514246414
266	1.511381332
267	1.50783973
268	1.503749231
269	1.500570739
270	1.496969315
271	1.494587718
272	1.491306013
273	1.487438335
274	1.48532516
275	1.482562357
276	1.47952235
277	1.477571236
278	1.474369273
279	1.471851639
280	1.468614351
281	1.46533963
282	1.463660187
283	1.461156949
284	1.458722676
285	1.457093423
286	1.454967247
287	1.451937688
288	1.449710391
289	1.448239957
290	1.446063367
291	1.442752013
292	1.440012338
293	1.437135258
294	1.435009883
295	1.432539129
296	1.430418649
297	1.428013649
298	1.425858813
299	1.423305207
300	1.420833637
301	1.418321206
302	1.41683656
303	1.415155354
304	1.413301929
305	1.41122261
306	1.409492839
307	1.407727698
308	1.405458142
309	1.40373134
310	1.402089891
311	1.398980918
312	1.397741831
313	1.395682585
314	1.394254318
315	1.393142383
316	1.391560243
317	1.389749035
318	1.38796973
319	1.385330422
320	1.383894204
321	1.382543439
322	1.381002794
323	1.379267772
324	1.377686856
325	1.376503506
326	1.375411663
327	1.374033464
328	1.372330254
329	1.370404739
330	1.369072086
331	1.367137363
332	1.365858918
333	1.364707029
334	1.362698867
335	1.361627056
336	1.360617158
337	1.358462542
338	1.356354539
