iter	Passed	Remaining
0	2	2184
1	4	2017
2	5	1937
3	7	1929
4	9	1910
5	11	1964
6	14	2006
7	16	2101
8	19	2184
9	22	2241
10	25	2265
11	27	2303
12	31	2362
13	33	2347
14	36	2382
15	40	2463
16	42	2450
17	44	2427
18	46	2406
19	49	2420
20	52	2429
21	54	2435
22	57	2426
23	59	2415
24	61	2409
25	63	2392
26	66	2382
27	68	2377
28	70	2356
29	72	2339
30	74	2322
31	76	2304
32	78	2287
33	79	2265
34	81	2245
35	83	2236
36	85	2221
37	87	2207
38	89	2197
39	91	2188
40	93	2183
41	95	2178
42	98	2182
43	100	2192
44	103	2196
45	105	2194
46	108	2190
47	110	2191
48	112	2192
49	115	2198
50	118	2196
51	120	2187
52	121	2179
53	123	2170
54	125	2162
55	127	2156
56	130	2159
57	132	2154
58	134	2148
59	136	2141
60	138	2133
61	140	2125
62	142	2117
63	144	2113
64	146	2112
65	149	2109
66	151	2103
67	153	2097
68	154	2090
69	156	2084
70	158	2080
71	161	2075
72	163	2076
73	166	2078
74	168	2080
75	170	2077
76	173	2074
77	175	2074
78	177	2073
79	180	2071
80	182	2069
81	184	2066
82	186	2061
83	188	2058
84	190	2053
85	192	2048
86	194	2045
87	197	2046
88	200	2048
89	202	2044
90	204	2040
91	206	2033
92	207	2027
93	210	2024
94	212	2020
95	214	2016
96	216	2011
97	217	2006
98	219	2001
99	221	1996
100	223	1991
101	225	1986
102	227	1983
103	229	1978
104	231	1972
105	233	1968
106	235	1966
107	237	1965
108	240	1965
109	242	1965
110	245	1963
111	247	1961
112	249	1960
113	252	1958
114	254	1956
115	256	1953
116	258	1950
117	260	1947
118	262	1943
119	264	1941
120	267	1939
121	269	1937
122	271	1934
123	273	1931
124	275	1928
125	277	1926
126	279	1922
127	281	1919
128	283	1915
129	285	1911
130	287	1907
131	289	1905
132	292	1904
133	294	1902
134	296	1897
135	298	1893
136	300	1889
137	301	1885
138	303	1881
139	305	1878
140	308	1877
141	310	1876
142	312	1873
143	314	1870
144	316	1868
145	319	1866
146	321	1863
147	323	1861
148	325	1858
149	327	1854
150	329	1850
151	331	1846
152	332	1842
153	334	1838
154	336	1834
155	338	1830
156	340	1828
157	342	1826
158	344	1824
159	347	1823
160	349	1820
161	351	1816
162	353	1813
163	355	1810
164	357	1808
165	359	1805
166	361	1801
167	362	1797
168	364	1794
169	366	1791
170	368	1787
171	370	1785
172	373	1785
173	375	1784
174	378	1783
175	380	1780
176	382	1777
177	384	1775
178	386	1772
179	388	1771
180	390	1768
181	393	1766
182	395	1764
183	397	1761
184	399	1760
185	401	1759
186	404	1758
187	406	1757
188	409	1756
189	411	1754
190	413	1752
191	416	1751
192	418	1750
193	421	1749
194	423	1747
195	425	1746
196	427	1744
197	430	1743
198	433	1743
199	435	1743
200	438	1741
201	440	1738
202	442	1736
203	444	1734
204	447	1733
205	449	1732
206	451	1730
207	454	1729
208	456	1728
209	459	1726
210	461	1724
211	462	1720
212	464	1717
213	466	1713
214	468	1710
215	470	1707
216	472	1704
217	474	1700
218	476	1698
219	478	1694
220	479	1691
221	481	1688
222	483	1685
223	485	1682
224	487	1680
225	490	1678
226	492	1676
227	494	1673
228	496	1670
229	498	1667
230	500	1665
231	502	1662
232	504	1660
233	506	1657
234	508	1654
235	510	1651
236	512	1649
237	514	1648
238	517	1647
239	519	1645
240	521	1643
241	524	1641
242	526	1639
243	528	1636
244	530	1633
245	532	1631
246	534	1629
247	536	1627
248	539	1626
249	541	1624
250	543	1622
251	545	1620
252	547	1618
253	550	1616
254	552	1615
255	554	1612
256	556	1609
257	558	1607
258	561	1605
259	562	1602
260	565	1600
261	567	1599
262	570	1598
263	572	1596
264	574	1593
265	576	1590
266	578	1587
267	580	1585
268	582	1583
269	584	1580
270	586	1577
271	588	1574
272	589	1571
273	591	1567
274	593	1564
275	595	1562
276	598	1560
277	600	1559
278	602	1557
279	605	1556
280	607	1553
281	609	1551
282	611	1549
283	613	1546
284	615	1544
285	617	1542
286	619	1540
287	622	1537
288	624	1535
289	626	1533
290	628	1531
291	630	1529
292	632	1527
293	635	1525
294	637	1523
295	639	1520
296	641	1519
297	644	1517
298	646	1516
299	648	1514
300	650	1511
301	652	1508
302	654	1505
303	656	1503
304	659	1501
305	661	1499
306	663	1497
307	665	1495
308	667	1492
309	669	1489
310	671	1487
311	673	1485
312	675	1483
313	677	1481
314	679	1478
315	681	1476
316	683	1473
317	685	1470
318	688	1468
319	690	1466
320	692	1463
321	694	1461
322	696	1459
323	698	1456
324	700	1454
325	702	1451
326	704	1449
327	706	1447
328	708	1444
329	710	1442
330	712	1439
331	714	1437
332	716	1434
333	718	1432
334	720	1429
335	721	1426
336	723	1424
337	725	1421
338	727	1419
339	730	1417
340	731	1414
341	733	1411
342	735	1409
343	737	1406
344	739	1403
345	741	1401
346	743	1398
347	745	1396
348	747	1393
349	749	1391
350	751	1388
351	752	1386
352	754	1383
353	756	1380
354	758	1378
355	760	1375
356	762	1374
357	764	1371
358	766	1368
359	768	1366
360	770	1364
361	772	1361
362	774	1359
363	777	1357
364	779	1355
365	781	1352
366	782	1350
